ph,tds_ppm,turbidity_ntu,temperature_c,dry_days_before_rain,rainwater_quality_score,water_class,recommended_action
6.25,360.3,61.33,30.3,33,32.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.42,99.8,3.2,24.8,0,83.2,Excellent_Store,Best for storage; disinfect before drinking use
6.19,174.5,2.56,29.0,1,75.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.38,69.7,12.1,29.7,5,65.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.8,391.4,54.74,25.0,26,25.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.62,225.4,44.11,27.4,33,29.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.46,443.4,89.04,27.5,22,20.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.1,420.1,63.94,25.9,34,30.3,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,135.6,1.26,27.7,5,82.6,Excellent_Store,Best for storage; disinfect before drinking use
6.36,78.2,7.71,27.9,5,72.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.28,21.3,2.5,24.1,5,88.3,Excellent_Store,Best for storage; disinfect before drinking use
6.25,10.1,9.66,27.2,4,72.5,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.08,58.2,1.03,31.3,3,85.5,Excellent_Store,Best for storage; disinfect before drinking use
6.38,54.4,15.73,28.9,1,69.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.06,308.2,75.5,34.1,18,19.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.75,243.4,24.11,27.2,15,34.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,137.4,39.18,29.9,5,48.4,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.91,61.0,0.77,29.7,2,87.3,Excellent_Store,Best for storage; disinfect before drinking use
6.13,389.5,51.17,25.7,33,31.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.21,37.5,0.03,26.5,0,92.4,Excellent_Store,Best for storage; disinfect before drinking use
5.84,294.8,69.21,29.1,33,29.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.25,5.0,14.97,24.1,7,67.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.31,48.5,0.03,32.7,4,92.9,Excellent_Store,Best for storage; disinfect before drinking use
5.73,327.7,75.55,23.2,13,25.9,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.95,242.9,33.33,32.2,21,32.7,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.35,85.5,5.14,28.1,11,76.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.08,39.2,28.23,22.9,20,55.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.84,304.4,32.42,34.0,16,29.5,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.34,144.7,11.04,24.3,12,58.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.08,134.3,1.54,21.5,12,75.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.56,30.8,2.89,27.9,3,89.9,Excellent_Store,Best for storage; disinfect before drinking use
5.64,390.0,88.92,29.2,36,23.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.97,289.8,59.93,25.2,11,37.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.88,352.2,46.69,26.5,19,32.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.28,68.5,5.96,28.0,2,76.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.52,387.5,74.01,26.6,25,22.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.64,462.8,77.69,25.8,14,24.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.13,142.0,6.51,30.5,12,66.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.49,317.0,21.03,24.6,16,46.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.69,414.4,95.0,32.7,37,19.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.34,11.0,6.58,28.7,3,80.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.39,95.0,37.32,28.5,3,56.3,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.14,5.0,3.47,28.1,6,86.2,Excellent_Store,Best for storage; disinfect before drinking use
6.28,128.8,33.91,28.3,17,50.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.24,296.7,11.15,25.9,11,49.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.7,417.8,77.22,33.2,30,23.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.86,349.9,91.24,26.5,33,24.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.47,363.0,68.28,26.2,10,25.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.62,141.2,0.03,28.0,13,72.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.72,483.5,95.0,28.9,20,25.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.28,137.5,3.24,27.9,5,75.7,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.11,62.9,7.71,24.4,13,68.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.96,330.9,78.87,23.8,7,34.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.09,116.2,34.83,28.0,11,49.7,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.23,229.7,67.49,28.7,32,37.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.13,423.3,67.19,30.3,11,32.6,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.11,193.0,3.75,28.0,7,69.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.23,5.0,15.53,27.9,1,69.4,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.07,567.2,92.14,25.3,43,24.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.53,340.7,95.0,30.7,12,24.2,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.05,152.2,25.28,29.5,14,45.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.13,281.5,15.63,31.0,2,47.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.2,43.0,10.2,31.5,5,69.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.73,473.8,95.0,27.7,13,23.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.05,121.4,37.22,32.4,16,45.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.36,100.4,7.06,29.3,0,73.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.81,486.7,66.32,33.0,17,25.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.14,55.5,2.33,31.0,3,84.2,Excellent_Store,Best for storage; disinfect before drinking use
6.55,73.8,8.48,22.5,7,72.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.93,51.2,5.15,28.5,9,73.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.22,110.3,1.94,27.7,11,80.0,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.31,133.5,4.32,24.1,14,72.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.54,337.3,95.0,28.9,31,22.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.73,308.2,69.76,33.6,27,26.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.07,68.9,5.56,30.9,8,71.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.05,189.0,10.48,27.4,21,52.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.66,496.6,95.0,27.3,20,24.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.46,426.2,92.78,29.0,17,20.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.31,237.0,45.34,25.8,7,45.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.02,111.3,6.41,29.6,6,65.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.27,90.5,2.76,26.7,4,82.6,Excellent_Store,Best for storage; disinfect before drinking use
6.43,7.4,3.01,28.1,3,89.6,Excellent_Store,Best for storage; disinfect before drinking use
6.2,21.4,0.03,29.4,1,93.3,Excellent_Store,Best for storage; disinfect before drinking use
6.07,233.8,21.62,29.9,5,45.9,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.2,32.6,4.68,24.3,8,77.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.43,46.0,4.14,29.5,3,84.6,Excellent_Store,Best for storage; disinfect before drinking use
6.09,211.5,14.48,25.4,14,45.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.8,434.9,95.0,26.8,25,24.5,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.05,107.8,2.27,28.5,11,75.9,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.98,461.3,65.74,29.8,30,27.0,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.08,80.7,1.6,26.9,2,83.6,Excellent_Store,Best for storage; disinfect before drinking use
6.36,115.4,7.74,33.5,1,68.8,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.42,125.0,4.53,27.6,0,78.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.03,379.0,74.11,30.3,18,17.6,Reject_First_Flush,Continue diverting to first-flush waste outlet
5.99,320.7,35.6,21.2,32,31.1,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.8,20.8,1.78,26.6,0,86.8,Excellent_Store,Best for storage; disinfect before drinking use
6.29,78.5,5.08,27.0,4,80.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.11,66.0,2.03,29.2,3,84.3,Excellent_Store,Best for storage; disinfect before drinking use
6.01,408.7,70.12,33.0,23,24.8,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.27,155.9,33.67,22.2,3,48.6,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.84,251.7,53.66,27.2,17,36.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
6.38,40.1,0.03,25.6,6,92.4,Excellent_Store,Best for storage; disinfect before drinking use
5.81,145.8,1.07,23.2,2,76.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.91,135.6,13.28,27.0,5,53.2,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.09,45.5,6.28,30.7,11,71.1,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.15,106.4,0.03,24.4,6,82.9,Excellent_Store,Best for storage; disinfect before drinking use
5.94,30.2,2.98,28.5,4,83.8,Excellent_Store,Best for storage; disinfect before drinking use
5.97,184.5,0.03,28.6,7,74.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
6.26,78.8,2.15,26.6,1,85.3,Excellent_Store,Best for storage; disinfect before drinking use
6.34,71.2,14.08,28.1,19,62.0,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.4,101.5,0.03,27.6,5,88.5,Excellent_Store,Best for storage; disinfect before drinking use
5.64,366.6,94.66,25.4,27,23.1,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.58,195.6,15.42,29.6,2,56.5,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
5.73,442.7,72.24,29.6,35,21.3,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.12,137.3,0.03,24.3,4,84.1,Excellent_Store,Best for storage; disinfect before drinking use
6.34,39.0,4.01,25.4,5,83.5,Excellent_Store,Best for storage; disinfect before drinking use
6.39,37.4,2.33,25.3,3,89.8,Excellent_Store,Best for storage; disinfect before drinking use
6.1,40.2,0.03,27.1,0,92.4,Excellent_Store,Best for storage; disinfect before drinking use
5.96,68.4,2.4,21.6,6,77.6,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.99,395.0,50.03,29.1,21,27.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.8,420.4,95.0,28.6,38,24.7,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.21,290.3,43.52,28.2,11,40.4,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
5.99,54.6,3.06,21.7,4,79.3,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.85,536.1,83.44,24.4,38,24.0,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.01,138.6,22.67,25.9,3,52.1,Fair_Non_Potable_Use,Use only for gardening/cleaning after basic filtering
6.19,14.9,14.3,31.3,1,68.2,Good_Store_After_Filter,Store after filtration; disinfect if used for drinking
5.59,486.1,82.07,22.7,22,22.9,Reject_First_Flush,Continue diverting to first-flush waste outlet
6.12,253.1,46.41,28.5,19,38.8,Poor_Needs_Treatment,Do not store directly; send to treatment/filter
